cardinality	pcs	prime	forte	gilman	binary	decimal	balanced	myhill	palindromic	chiral	deep	has_max_evenness	has_max_area	brightness	variation	stability	cohemitonia	imperfections	contradictions	ambiguities	differences	coherence_quotient	sameness_quotient	generator	area	perimeter	centroid	centroid_distance	centroid_angle_degrees	inverse	complement	fourier_components	structure	vector	proportional_saturation_vector	rot_axes	ref_axes	ridges	propriety
10	(0, 1, 2, 4, 5, 6, 7, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)	10-5	K.E.A	101111110111	3063	False	False	False	False	False	False	True	53	1.0	-1.1333333333333333	6	1	0	96	177	0.872	0.5629629629629629	5	2.8660254037844384	6.141104721640333	(-0.013397459621556118+0.050000000000000065j)	0.05176380902050421	194.99999999999997	(0, 1, 3, 4, 5, 6, 7, 8, 10, 11)	(0, 5)	(10.0, 0.517638, 1.732051, 1.414214, 1.0, 1.931852, 0.0)	(1, 1, 2, 1, 1, 1, 1, 1, 2, 1)	(8, 8, 8, 8, 9, 4)	(0.0, 0.0, 0.0, 0.0, 1.0, 0.0)	()	(0.5,)	(1,)	Proper
9	(0, 3, 4, 5, 6, 7, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 8, 9)	9-3A	J.C.A	101111111001	3065	False	False	False	True	False	False	False	53	2.2222222222222223	-1.9722222222222223	5	3	64	107	194	0.6298701298701299	0.32638888888888884	None	2.6830127018922196	6.037680193808386	(-0.05555555555555553+0.20733615597604882j)	0.21465018361979302	195.0	(0, 1, 3, 4, 5, 6, 7, 8, 9)	(0, 1, 4)	(9.0, 1.931852, 1.0, 2.236068, 1.732051, 0.517638, 1.0)	(3, 1, 1, 1, 1, 1, 1, 2, 1)	(7, 6, 7, 7, 6, 3)	(0.5, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
10	(0, 1, 3, 4, 5, 6, 7, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 8, 9, 10)	10-4	K.D.A	101111111011	3067	False	False	True	False	False	False	True	54	1.2	-1.8666666666666667	6	2	4	129	210	0.8226666666666667	0.4814814814814815	None	2.8660254037844384	6.141104721640333	(4.4408920985006264e-17+0.10000000000000006j)	0.10000000000000006	179.99999999999997	(0, 1, 3, 4, 5, 6, 7, 8, 9, 11)	(0, 4)	(10.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0)	(1, 2, 1, 1, 1, 1, 1, 1, 2, 1)	(8, 8, 8, 9, 8, 4)	(0.0, 0.0, 0.0, 1.0, 0.0, 0.0)	()	(0.0,)	(0,)	Improper
10	(0, 2, 3, 4, 5, 6, 7, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 7, 9, 10)	10-3	K.C.A	101111111101	3069	False	False	False	False	False	False	True	55	1.4	-2.422222222222222	6	2	20	154	235	0.768	0.41975308641975306	None	2.8660254037844393	6.141104721640333	(0.03660254037844388+0.13660254037844394j)	0.1414213562373096	165.0	(0, 1, 3, 4, 5, 6, 7, 8, 9, 10)	(0, 3)	(10.0, 1.414214, 0.0, 1.414214, 2.0, 1.414214, 0.0)	(2, 1, 1, 1, 1, 1, 1, 1, 2, 1)	(8, 8, 9, 8, 8, 4)	(0.0, 0.0, 1.0, 0.0, 0.0, 0.0)	()	(5.5,)	(11,)	Improper
11	(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11)	(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)	11-1	L.A.A	101111111111	3071	False	True	False	False	False	True	True	56	0.9090909090909091	-2.0	9	1	0	165	220	0.8571428571428572	0.6	1	2.9330127018922196	6.176380902050416	(0.07872958216222171+0.04545454545454552j)	0.09090909090909095	120.00000000000003	(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11)	None	(11.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1)	(10, 10, 10, 10, 10, 5)	(1, 1, 1, 1, 1, 1)	()	(4.0,)	(8,)	Proper
3	(0, 10, 11)	(0, 1, 2)	3-1	D.A.A	110000000001	3073	False	True	False	False	False	False	False	21	6.0	1.0	1	3	1	0	4	0.0	0.33333333333333337	1	0.06698729810778062	2.035276180410083	(-0.45534180126147966-0.7886751345948128j)	0.910683602522959	330.0	(0, 1, 2)	(0, 1, 2, 3, 4, 5, 6, 7, 8)	(3.0, 2.732051, 2.0, 1.0, 0.0, 0.732051, 1.0)	(10, 1, 1)	(2, 1, 0, 0, 0, 0)	(1.0, 0.5, 0.0, 0.0, 0.0, 0.0)	()	(5.0,)	(10,)	Improper
4	(0, 1, 10, 11)	(0, 1, 2, 3)	4-1	E.A.A	110000000011	3075	False	True	False	False	False	False	False	22	6.0	1.0	2	4	5	0	10	0.2857142857142857	0.4444444444444444	1	0.24999999999999992	2.9671278329882194	(-0.21650635094610976-0.8080127018922193j)	0.8365163037378079	345.0	(0, 1, 2, 11)	(0, 1, 2, 3, 4, 5, 6, 7)	(4.0, 3.346065, 1.732051, 0.0, 1.0, 0.896575, 0.0)	(1, 9, 1, 1)	(3, 2, 1, 0, 0, 0)	(1.0, 0.6666666666666666, 0.25, 0.0, 0.0, 0.0)	()	(5.5,)	(11,)	Improper
4	(0, 2, 10, 11)	(0, 1, 2, 4)	4-2A	E.B.A	110000000101	3077	False	False	False	True	False	False	False	23	5.5	0.6666666666666667	1	4	5	2	16	0.0	0.11111111111111116	None	0.4999999999999998	3.76732698797896	(-0.1250000000000001-0.7165063509461096j)	0.7273282277941023	350.1039093610171	(0, 1, 2, 10)	(0, 1, 2, 3, 4, 5, 6, 8)	(4.0, 2.909313, 1.0, 1.414214, 1.0, 1.239314, 2.0)	(2, 8, 1, 1)	(2, 2, 1, 1, 0, 0)	(0.6666666666666666, 0.6666666666666666, 0.25, 0.3333333333333333, 0.0, 0.0)	()	()	()	Improper
5	(0, 1, 2, 10, 11)	(0, 1, 2, 3, 4)	5-1	F.A.A	110000000111	3079	False	True	True	False	False	False	False	24	5.6	1.0	3	5	15	0	20	0.4	0.5	1	0.5669872981077805	3.802603168389043	(-8.881784197001253e-17-0.7464101615137755j)	0.7464101615137755	360.0	(0, 1, 2, 10, 11)	(0, 1, 2, 3, 4, 5, 6)	(5.0, 3.732051, 1.0, 1.0, 1.0, 0.267949, 1.0)	(1, 1, 8, 1, 1)	(4, 3, 2, 1, 0, 0)	(1.0, 0.75, 0.5, 0.0, 0.0, 0.0)	()	(0.0,)	(0,)	Improper
4	(0, 3, 10, 11)	(0, 1, 2, 5)	4-4A	E.C.B	110000001001	3081	False	False	False	True	False	False	False	24	5.0	1.0	1	3	7	0	16	0.0	0.11111111111111116	None	0.7499999999999999	4.381341395361314	(-0.09150635094610976-0.5915063509461096j)	0.5985425427428319	351.2060231130031	(0, 1, 2, 9)	(0, 1, 2, 3, 4, 5, 7, 8)	(4.0, 2.39417, 1.732051, 2.0, 1.0, 1.505971, 0.0)	(3, 7, 1, 1)	(2, 1, 1, 1, 1, 0)	(0.6666666666666666, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.0)	()	()	()	Improper
5	(0, 1, 3, 10, 11)	(0, 1, 2, 3, 5)	5-2A	F.B.A	110000001011	3083	False	False	False	True	False	False	False	25	5.2	0.4	2	4	15	6	32	0.16000000000000003	0.19999999999999996	None	0.9330127018922192	4.484765923193261	(0.02679491924311219-0.6464101615137754j)	0.6469652731063006	2.3736591270386924	(0, 1, 2, 9, 11)	(0, 1, 2, 3, 4, 5, 7)	(5.0, 3.234826, 1.0, 1.0, 1.0, 1.880398, 1.0)	(1, 2, 7, 1, 1)	(3, 3, 2, 1, 1, 0)	(0.75, 0.75, 0.5, 0.0, 0.25, 0.0)	()	()	()	Improper
5	(0, 2, 3, 10, 11)	(0, 1, 2, 4, 5)	5-3A	F.C.A	110000001101	3085	False	False	False	True	False	False	False	26	4.8	0.8	1	4	15	2	30	0.31999999999999995	0.25	None	0.9330127018922193	4.484765923193261	(0.09999999999999991-0.5732050807568877j)	0.5818625822352819	9.896090638982898	(0, 1, 2, 9, 10)	(0, 1, 2, 3, 4, 5, 8)	(5.0, 2.909313, 1.0, 2.236068, 1.0, 1.239314, 1.0)	(2, 1, 7, 1, 1)	(3, 2, 2, 2, 1, 0)	(0.75, 0.5, 0.5, 0.3333333333333333, 0.25, 0.0)	()	()	()	Improper
6	(0, 1, 2, 3, 10, 11)	(0, 1, 2, 3, 4, 5)	6-1	G.A.A	110000001111	3087	False	True	False	False	True	False	False	27	5.0	1.0	4	5	35	0	35	0.46153846153846156	0.5333333333333333	1	0.9999999999999999	4.520042103603344	(0.16666666666666655-0.6220084679281462j)	0.6439505508593788	14.999999999999986	(0, 1, 2, 9, 10, 11)	(0, 1, 2, 3, 4, 5)	(6.0, 3.863703, 0.0, 1.414214, 0.0, 1.035276, 0.0)	(1, 1, 1, 7, 1, 1)	(5, 4, 3, 2, 1, 0)	(1.0, 0.6666666666666666, 0.6, 0.2, 0.2, 0.0)	()	(0.5,)	(1,)	Improper
4	(0, 4, 10, 11)	(0, 1, 2, 6)	4-5A	E.D.C	110000010001	3089	False	False	False	True	False	False	False	25	4.5	0.8333333333333334	1	3	6	1	16	0.0	0.11111111111111116	None	0.9330127018922191	4.76732698797896	(-0.12500000000000008-0.4665063509461097j)	0.4829629131445342	345.0	(0, 1, 2, 8)	(0, 1, 2, 3, 4, 6, 7, 8)	(4.0, 1.931852, 2.645751, 1.414214, 1.0, 0.517638, 2.0)	(4, 6, 1, 1)	(2, 1, 0, 1, 1, 1)	(0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5)	()	()	()	Improper
5	(0, 1, 4, 10, 11)	(0, 1, 2, 3, 6)	5-4A	F.C.B	110000010011	3091	False	False	False	True	False	False	False	26	4.8	0.7	2	4	20	3	32	0.07999999999999996	0.19999999999999996	None	1.2499999999999996	4.967127832988219	(-8.881784197001253e-17-0.5464101615137755j)	0.5464101615137755	360.0	(0, 1, 2, 8, 11)	(0, 1, 2, 3, 4, 6, 7)	(5.0, 2.732051, 2.0, 1.0, 2.0, 0.732051, 1.0)	(1, 3, 6, 1, 1)	(3, 2, 2, 1, 1, 1)	(0.75, 0.5, 0.5, 0.0, 0.25, 0.5)	()	()	()	Improper
5	(0, 2, 4, 10, 11)	(0, 1, 2, 4, 6)	5-9A	F.D.A	110000010101	3093	False	False	False	True	False	False	False	27	4.4	0.30000000000000004	1	4	14	7	36	0.16000000000000003	0.09999999999999998	None	1.3660254037844384	5.035276180410083	(0.07320508075688763-0.4732050807568878j)	0.4788340341942656	8.793976886996859	(0, 1, 2, 8, 10)	(0, 1, 2, 3, 4, 6, 8)	(5.0, 2.39417, 1.732051, 1.0, 1.0, 1.505971, 3.0)	(2, 2, 6, 1, 1)	(2, 3, 1, 2, 1, 1)	(0.5, 0.75, 0.25, 0.3333333333333333, 0.25, 0.5)	()	()	()	Improper
6	(0, 1, 2, 4, 10, 11)	(0, 1, 2, 3, 4, 6)	6-2A	G.B.A	110000010111	3095	False	False	False	True	False	False	False	28	4.666666666666667	0.1333333333333333	3	5	34	13	55	0.27692307692307694	0.2666666666666667	None	1.4330127018922192	5.070552360820166	(0.14433756729740635-0.538675134594813j)	0.5576775358252053	14.999999999999986	(0, 1, 2, 8, 10, 11)	(0, 1, 2, 3, 4, 6)	(6.0, 3.346065, 1.0, 0.0, 1.732051, 0.896575, 2.0)	(1, 1, 2, 6, 1, 1)	(4, 4, 3, 2, 1, 1)	(0.8, 0.6666666666666666, 0.6, 0.2, 0.2, 0.3333333333333333)	()	()	()	Improper
5	(0, 3, 4, 10, 11)	(0, 1, 2, 5, 6)	5-6A	F.E.B	110000011001	3097	False	False	False	True	False	False	False	28	4.0	0.9	1	3	16	1	30	0.31999999999999995	0.25	None	1.2499999999999996	4.967127832988219	(0.09999999999999995-0.37320508075688774j)	0.3863703305156273	15.0	(0, 1, 2, 8, 9)	(0, 1, 2, 3, 4, 7, 8)	(5.0, 1.931852, 2.645751, 2.236068, 1.0, 0.517638, 1.0)	(3, 1, 6, 1, 1)	(3, 1, 1, 2, 2, 1)	(0.75, 0.25, 0.25, 0.3333333333333333, 0.5, 0.5)	()	()	()	Improper
6	(0, 1, 3, 4, 10, 11)	(0, 1, 2, 3, 5, 6)	6-z3A	G.C.A	110000011011	3099	False	False	False	True	False	False	False	29	4.333333333333333	0.4	2	4	34	9	55	0.3384615384615385	0.2666666666666667	None	1.433012701892219	5.070552360820166	(0.16666666666666663-0.4553418012614796j)	0.4848854851960683	20.103909361017088	(0, 1, 2, 8, 9, 11)	(0, 1, 2, 3, 4, 7)	(6.0, 2.909313, 1.732051, 1.414214, 1.732051, 1.239314, 0.0)	(1, 2, 1, 6, 1, 1)	(4, 3, 3, 2, 2, 1)	(0.8, 0.5, 0.6, 0.2, 0.4, 0.3333333333333333)	()	()	()	Improper
6	(0, 2, 3, 4, 10, 11)	(0, 1, 2, 4, 5, 6)	6-z4	G.D.A	110000011101	3101	False	False	False	False	False	False	False	30	4.0	0.6666666666666667	2	4	34	5	51	0.4	0.31999999999999995	None	1.4330127018922192	5.070552360820166	(0.2276709006307397-0.3943375672974065j)	0.45534180126147955	29.999999999999993	(0, 1, 2, 8, 9, 10)	(0, 1, 2, 3, 4, 8)	(6.0, 2.732051, 2.0, 2.0, 0.0, 0.732051, 2.0)	(2, 1, 1, 6, 1, 1)	(4, 3, 2, 3, 2, 1)	(0.8, 0.5, 0.4, 0.4, 0.4, 0.3333333333333333)	()	(1.0,)	(2,)	Improper
7	(0, 1, 2, 3, 4, 10, 11)	(0, 1, 2, 3, 4, 5, 6)	7-1	H.A.A	110000011111	3103	False	True	False	False	True	False	False	31	4.285714285714286	0.9523809523809523	5	5	69	1	56	0.5	0.5555555555555556	1	1.4999999999999998	5.105828541230249	(0.26657505768349116-0.4617215439384111j)	0.5331501153669825	29.999999999999993	(0, 1, 2, 8, 9, 10, 11)	(0, 1, 2, 3, 4)	(7.0, 3.732051, 1.0, 1.0, 1.0, 0.267949, 1.0)	(1, 1, 1, 1, 6, 1, 1)	(6, 5, 4, 3, 2, 1)	(1.0, 0.75, 0.5, 0.0, 0.0, 0.0)	()	(1.0,)	(2,)	Improper
4	(0, 5, 10, 11)	(0, 1, 2, 7)	4-6	E.E.D	110000100001	3105	False	False	False	False	False	False	False	26	4.0	1.0	1	2	4	0	13	0.4285714285714286	0.2777777777777778	None	0.9999999999999999	4.898979485566357	(-0.21650635094610976-0.37499999999999994j)	0.43301270189221935	330.0	(0, 1, 2, 7)	(0, 1, 2, 3, 5, 6, 7, 8)	(4.0, 1.732051, 3.0, 0.0, 1.0, 1.732051, 0.0)	(5, 5, 1, 1)	(2, 1, 0, 0, 2, 1)	(0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.5)	()	(5.0,)	(10,)	Improper
5	(0, 1, 5, 10, 11)	(0, 1, 2, 3, 7)	5-5A	F.D.C	110000100011	3107	False	False	False	True	False	False	False	27	4.4	0.7	2	3	17	3	32	0.19999999999999996	0.19999999999999996	None	1.4330127018922192	5.2168167307621385	(-0.07320508075688784-0.47320508075688766j)	0.4788340341942655	351.2060231130031	(0, 1, 2, 7, 11)	(0, 1, 2, 3, 5, 6, 7)	(5.0, 2.39417, 2.645751, 1.0, 1.0, 1.505971, 1.0)	(1, 4, 5, 1, 1)	(3, 2, 1, 1, 2, 1)	(0.75, 0.5, 0.25, 0.0, 0.5, 0.5)	()	()	()	Improper
5	(0, 2, 5, 10, 11)	(0, 1, 2, 4, 7)	5-z36A	F.E.C	110000100101	3109	False	False	False	True	False	False	False	28	4.0	0.30000000000000004	1	3	13	7	38	0.19999999999999996	0.050000000000000044	None	1.6830127018922192	5.381341395361314	(-8.881784197001253e-17-0.39999999999999997j)	0.39999999999999997	360.0	(0, 1, 2, 7, 10)	(0, 1, 2, 3, 5, 6, 8)	(5.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0)	(2, 3, 5, 1, 1)	(2, 2, 2, 1, 2, 1)	(0.5, 0.5, 0.5, 0.0, 0.5, 0.5)	()	()	()	Improper
6	(0, 1, 2, 5, 10, 11)	(0, 1, 2, 3, 4, 7)	6-z36A	G.C.B	110000100111	3111	False	False	False	True	False	False	False	29	4.333333333333333	0.4	3	4	41	9	55	0.23076923076923073	0.2666666666666667	None	1.75	5.416617575771397	(0.08333333333333326-0.47767090063073975j)	0.4848854851960682	9.896090638982898	(0, 1, 2, 7, 10, 11)	(0, 1, 2, 3, 5, 6)	(6.0, 2.909313, 1.732051, 1.414214, 1.732051, 1.239314, 0.0)	(1, 1, 3, 5, 1, 1)	(4, 3, 3, 2, 2, 1)	(0.8, 0.5, 0.6, 0.2, 0.4, 0.3333333333333333)	()	()	()	Improper
5	(0, 3, 5, 10, 11)	(0, 1, 2, 5, 7)	5-14A	F.F.C	110000101001	3113	False	False	False	True	False	False	False	29	3.6	0.09999999999999998	1	2	9	9	38	0.28	0.050000000000000044	None	1.6830127018922194	5.381341395361314	(0.02679491924311219-0.29999999999999993j)	0.3011942358300452	5.103909361017074	(0, 1, 2, 7, 9)	(0, 1, 2, 3, 5, 7, 8)	(5.0, 1.505971, 2.645751, 1.0, 1.0, 2.39417, 1.0)	(3, 2, 5, 1, 1)	(2, 2, 1, 1, 3, 1)	(0.5, 0.5, 0.25, 0.0, 0.75, 0.5)	()	()	()	Improper
6	(0, 1, 3, 5, 10, 11)	(0, 1, 2, 3, 5, 7)	6-9A	G.D.B	110000101011	3115	False	False	False	True	False	False	False	30	4.0	-0.2666666666666666	2	3	29	19	65	0.2615384615384615	0.1333333333333333	None	1.8660254037844386	5.484765923193261	(0.1056624327025935-0.3943375672974064j)	0.40824829046386296	15.0	(0, 1, 2, 7, 9, 11)	(0, 1, 2, 3, 5, 7)	(6.0, 2.44949, 2.0, 0.0, 0.0, 2.44949, 2.0)	(1, 2, 2, 5, 1, 1)	(3, 4, 2, 2, 3, 1)	(0.6, 0.6666666666666666, 0.4, 0.2, 0.6, 0.3333333333333333)	()	()	()	Improper
6	(0, 2, 3, 5, 10, 11)	(0, 1, 2, 4, 5, 7)	6-z11A	G.E.A	110000101101	3117	False	False	False	True	False	False	False	31	3.6666666666666665	0.2666666666666667	1	3	27	11	59	0.41538461538461535	0.21333333333333337	None	1.8660254037844388	5.484765923193261	(0.16666666666666655-0.3333333333333333j)	0.3726779962499649	26.56505117707797	(0, 1, 2, 7, 9, 10)	(0, 1, 2, 3, 5, 8)	(6.0, 2.236068, 1.732051, 1.414214, 1.732051, 2.236068, 0.0)	(2, 1, 2, 5, 1, 1)	(3, 3, 3, 2, 3, 1)	(0.6, 0.5, 0.6, 0.2, 0.6, 0.3333333333333333)	()	()	()	Improper
